gladson.cameli@senador.leg.br;;Gladson de Lima Cameli;Gladson Cameli;PP;AC;(61) 3303-1357 / 1367;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 14;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4558.jpg;M
jorge.viana@senador.leg.br;;Jorge Ney Viana Macedo Neves;Jorge Viana;PT;AC;(61) 3303-6366 / 6369;;;Senado Federal Anexo II Bloco B Ala Ruy Carneiro Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4990.jpg;M
sergio.petecao@senador.leg.br;;Sérgio de Oliveira Cunha;Sérgio Petecão;PSD;AC;(61) 3303-6708 / 6709;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 21;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4560.jpg;M
benedito.lira@senador.leg.br;;Benedito de Lira;Benedito de Lira;PP;AL;(61) 3303-6148 / 6149 / 6151;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 02;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3823.jpg;M
fernando.collor@senador.leg.br;;Fernando Affonso Collor de Mello;Fernando Collor;PTC;AL;(61) 3303-5783;;;Senado Federal Anexo I 13º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4525.jpg;M
renan.calheiros@senador.leg.br;;José Renan Vasconcelos Calheiros;Renan Calheiros;PMDB;AL;(61) 3303-2261;;;Senado Federal Anexo I 15º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador70.jpg;M
davi.alcolumbre@senador.leg.br;;David Samuel Alcolumbre Tobelem;Davi Alcolumbre;DEM;AP;(61) 3303-6717 / 6720 / 6722;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 03;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3830.jpg;M
joao.capiberibe@senador.leg.br;;João Alberto Rodrigues Capiberibe;João Capiberibe;PSB;AP;(61) 3303-9011 / 9013;;;Senado Federal Anexo II Bloco A Térreo Ala Afonso Arinos Gabinete 08;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3394.jpg;M
randolfe.rodrigues@senador.leg.br;;Randolph Frederich Rodrigues Alves;Randolfe Rodrigues;REDE;AP;(61) 3303-6568 / 6567 / 6574;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 07;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5012.jpg;M
eduardo.braga@senador.leg.br;;Carlos Eduardo de Souza Braga;Eduardo Braga;PMDB;AM;(61) 3303-6230 / 6227;;;Senado Federal Anexo I 12º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4994.jpg;M
omar.aziz@senador.leg.br;;Omar José Abdel Aziz;Omar Aziz;PSD;AM;(61) 3303-6579;;;Senado Federal Anexo II Bloco A Ala Filinto Müller Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5525.jpg;M
vanessa.grazziotin@senadora.leg.br;;Vanessa Grazziotin;Vanessa Grazziotin;PCdoB;AM;(61) 3303-6726 / 6733;;;Senado Federal Anexo II Bloco A Subsolo Ala Alexandre Costa Gabinete 03;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador558.jpg;F
lidice.mata@senadora.leg.br;;Lídice da Mata e Souza;Lídice da Mata;PSB;BA;(61) 3303-6408 / 6410;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 15;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador4575.jpg;F
otto.alencar@senador.leg.br;;Otto Roberto Mendonça de Alencar;Otto Alencar;PSD;BA;(61) 3303-1464 / 1467;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 09;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5523.jpg;M
roberto.muniz@senador.leg.br;;Roberto de Oliveira Muniz;Roberto Muniz;PP;BA;(61) 3303-6788 / 6790;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 13;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5052.jpg;M
eunicio.oliveira@senador.leg.br;;Eunício Lopes de Oliveira;Eunício Oliveira;PMDB;CE;(61) 3303-6245 / 6246;;;Senado Federal Anexo I 17º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador612.jpg;M
jose.pimentel@senador.leg.br;;José Barroso Pimentel;José Pimentel;PT;CE;(61) 3303-6390 / 6391;;;Senado Federal Anexo I 23º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador615.jpg;M
tasso.jereissati@senador.leg.br;;Tasso Ribeiro Jereissati;Tasso Jereissati;PSDB;CE;(61) 3303-4502 / 4503;;;Senado Federal Anexo I 14º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3396.jpg;M
cristovam.buarque@senador.leg.br;;Cristovam Ricardo Cavalcanti Buarque;Cristovam Buarque;PPS;DF;(61) 3303-2281;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 10;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador3398.jpg;M
heliojose@senador.leg.br;;Hélio José da Silva Lima;Hélio José;PMDB;DF;(61) 3303-6640 / 6645 / 6646;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 19;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5100.jpg;M
reguffe@senador.leg.br;;José Antônio Machado Reguffe;Reguffe;S;DF;(61) 3303-6355;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 17;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador5236.jpg;M
magno.malta@senador.leg.br;;Magno Pereira Malta;Magno Malta;PR;ES;(61) 3303-4161 / 5867;;;Senado Federal Anexo II Bloco A Ala Tancredo Neves Gabinete 57;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador631.jpg;M
ricardo.ferraco@senador.leg.br;;Ricardo de Rezende Ferraço;Ricardo Ferraço;PSDB;ES;(61) 3303-6590 / 6593;;;Senado Federal Anexo I 4º Andar;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador635.jpg;M
rose.freitas@senadora.leg.br;;Rosilda de Freitas;Rose de Freitas;PMDB;ES;(61) 3303-1156;;;Senado Federal Anexo II Bloco A Ala Teotônio Vilela Gabinete 01;;http://www.senado.gov.br/senadores/img/fotos-oficiais/senador2331.jpg;F
